anio_mundial,nombre_grupo,nombre_pais,posicion_grupo,pts,pj,pg,pe,pp,gf,gc,dif,clasifico
1994,Grupo A,Suiza,2,4,3,1,1,1,5,4,1,1
1994,Grupo A,Estados Unidos,3,4,3,1,1,1,3,3,0,1
1994,Grupo A,Colombia,4,3,3,1,0,2,4,5,-1,0
1994,Grupo B,Brasil,1,7,3,2,1,0,6,1,5,1
1994,Grupo B,Suecia,2,5,3,1,2,0,6,4,2,1
1994,Grupo B,Rusia,3,3,3,1,0,2,7,6,1,0
1994,Grupo B,Camerún,4,1,3,0,1,2,3,11,-8,0
1994,Grupo C,Alemania,1,7,3,2,1,0,5,3,2,1
1994,Grupo C,España,2,5,3,1,2,0,6,4,2,1
1994,Grupo C,Corea del Sur,3,2,3,0,2,1,4,5,-1,0
1994,Grupo C,Bolivia,4,1,3,0,1,2,1,4,-3,0
1994,Grupo D,Nigeria,1,6,3,2,0,1,6,2,4,1
1994,Grupo D,Bulgaria,2,6,3,2,0,1,6,3,3,1
1994,Grupo D,Argentina,3,6,3,2,0,1,6,3,3,1
1994,Grupo D,Grecia,4,0,3,0,0,3,0,10,-10,0
1994,Grupo E,México,1,4,3,1,1,1,3,3,0,1
1994,Grupo E,Irlanda,2,4,3,1,1,1,2,2,0,1
1994,Grupo E,Italia,3,4,3,1,1,1,2,2,0,1
1994,Grupo E,Noruega,4,4,3,1,1,1,1,1,0,0
1994,Grupo F,Países Bajos,1,6,3,2,0,1,4,3,1,1
1994,Grupo F,Arabia Saudita,2,6,3,2,0,1,4,3,1,1
1994,Grupo F,Bélgica,3,6,3,2,0,1,2,1,1,1
1994,Grupo F,Marruecos,4,0,3,0,0,3,2,5,-3,0
1998,Grupo A,Brasil,1,6,3,2,0,1,6,3,3,1
1998,Grupo A,Noruega,2,5,3,1,2,0,5,4,1,1
1998,Grupo A,Marruecos,3,4,3,1,1,1,5,5,0,0
1998,Grupo A,Escocia,4,1,3,0,1,2,2,6,-4,0
1998,Grupo B,Italia,1,7,3,2,1,0,7,3,4,1
1998,Grupo B,Chile,2,3,3,0,3,0,4,4,0,1
1998,Grupo B,Austria,3,2,3,0,2,1,3,4,-1,0
1998,Grupo B,Camerún,4,2,3,0,2,1,2,5,-3,0
